sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 403858053, -9.16113567352295, -2.178856611251831, 3.4326834678649902, 0, 0, 0, 0, 0, 0, 
1, 403866386, -9.157388687133789, -2.1789493560791016, 3.4350152015686035, 0.3489872217178345, -1.5098650455474854, 9.73012638092041, -0.46288764476776123, -0.5693403482437134, 0.5588769912719727, 
2, 403874719, -9.155531883239746, -2.176769971847534, 3.4363701343536377, 0.3798302710056305, -1.485466718673706, 9.711507797241211, -0.6764976382255554, -0.3030676245689392, 0.4817141592502594, 
3, 403883052, -9.153512954711914, -2.1728734970092773, 3.4373626708984375, 0.4099079668521881, -1.4818615913391113, 9.691387176513672, -0.6790077090263367, -0.07243704795837402, 0.4699571430683136, 
4, 403891385, -9.152921676635742, -2.167501449584961, 3.436669111251831, 0.4223041534423828, -1.4830563068389893, 9.66565227508545, -0.8367657661437988, 0.11499510705471039, 0.30103129148483276, 
5, 403899718, -9.152764320373535, -2.1630685329437256, 3.4352753162384033, 0.4341060519218445, -1.49947190284729, 9.576269149780273, -0.9124047756195068, 0.03712783381342888, 0.2013406902551651, 
6, 403908051, -9.152588844299316, -2.1621549129486084, 3.434708833694458, 0.4202295243740082, -1.5129050016403198, 9.479168891906738, -0.8859579563140869, -0.41539883613586426, 0.22975966334342957, 
7, 403916384, -9.152899742126465, -2.1632823944091797, 3.435304880142212, 0.4204438328742981, -1.5040425062179565, 9.42773151397705, -0.9595988988876343, -0.6601428985595703, 0.3310127556324005, 
8, 403924717, -9.154997825622559, -2.166083574295044, 3.4362857341766357, 0.37774863839149475, -1.5103087425231934, 9.453883171081543, -1.1520130634307861, -0.8854200839996338, 0.34341004490852356, 
9, 403933050, -9.158292770385742, -2.1691033840179443, 3.438727378845215, 0.36215558648109436, -1.5346424579620361, 9.583772659301758, -1.3088232278823853, -0.917694091796875, 0.5083913207054138, 
10, 403941383, -9.163969039916992, -2.171118974685669, 3.4419384002685547, 0.36401432752609253, -1.5397335290908813, 9.679141998291016, -1.5725219249725342, -0.8358052968978882, 0.6217855215072632, 
11, 403949716, -9.168256759643555, -2.169729709625244, 3.445582389831543, 0.3491155803203583, -1.5215097665786743, 9.740933418273926, -1.4211801290512085, -0.41948428750038147, 0.7418010234832764, 
